Complaint Type,Clean_Complaint
plumbing,Building Infrastructure
poison ivy,Health
posting advertisement,Street/Parking
public assembly,Social
public assembly - temporary,Social
public payphone complaint,City Infrastructure
public toilet,City Infrastructure
question,Other
radioactive material,Health
rangehood,Building Infrastructure
recycling enforcement,Waste
request large bulky item collection,Waste
request xmas tree collection,Waste
research questions,Other
rodent,Animal
root/sewer/sidewalk condition,Street/Parking
safety,Health
sanitation condition,Health
scaffold safety,Building Infrastructure
school maintenance,Building Infrastructure
scrie,Social
select message type...,Other
senior center complaint,Social
sewer,Health
sidewalk condition,City Infrastructure
smoking,Health
snow,Street/Parking
special natural area district (snad),City Infrastructure
special projects inspection team (spit),Social
sprinkler - mechanical,Building Infrastructure
squeegee,Building Infrastructure
srde,Other
stalled sites,Other
standing water,Water/Power
street condition,City Infrastructure
street light condition,City Infrastructure
street sign - damaged,City Infrastructure
street sign - dangling,City Infrastructure
street sign - missing,City Infrastructure
sweeping/inadequate,Waste
sweeping/missed,Waste
sweeping/missed-inadequate,Waste
tanning,Health
tattooing,Social
taxi complaint,Street/Parking
taxi licensee complaint,Social
taxi report,Street/Parking
taxpayer advocate inquiry,Financial
traffic,Street/Parking
traffic signal condition,City Infrastructure
trans fat,Health
transportation provider complaint,Social
unleashed dog,Animal
unlicensed dog,Animal
unsanitary animal facility,Animal
unsanitary animal pvt property,Animal
unsanitary condition,Health
unsanitary pigeon condition,Animal
urinating in public,Health
vacant lot,Street/Parking
vending,Street/Parking
violation of park rules,Street/Parking
water conservation,Water/Power
water leak,Water/Power
water quality,Water/Power
water system,Water/Power
window guard,Water/Power
x-ray machine/equipment,Other
ztestint,Other
